case_id,problem,n,measure,value,listed_prior,improvement,prior_by,source
cubincub_n11,min/cubes_in_cube,11,s,2.8829529104956513,2.89444,0.01149,"Timo Berthold, et al, March 2026",friedman_20260702
cubincub_n12,min/cubes_in_cube,12,s,2.9327717687048653,2.94281,0.01004,"Erich Friedman, 1998",friedman_20260702
hexincir_n25,min/hexagons_in_circle,25,s,5.188040818850871,5.18816,0.00012,"Jake Loyd, June 2026",friedman_20260702
hexincir_n26,min/hexagons_in_circle,26,s,5.257463836639421,5.28194,0.02448,"Thomas Greenleaf, June 2026",friedman_20260702
hexincir_n27,min/hexagons_in_circle,27,s,5.281677775812385,5.28194,0.00026,"Thomas Greenleaf, June 2026",friedman_20260702
hexintri_n9,min/hexagons_in_triangle,9,s,8.644948767918143,8.645,5e-05,"Jonathan Viquerat, April 2026",friedman_20260702
hexintri_n12,min/hexagons_in_triangle,12,s,9.964302557645235,9.9644,0.0001,"Jonathan Viquerat, April 2026",friedman_20260702
hexintri_n13,min/hexagons_in_triangle,13,s,10.288575844132138,10.2886,2e-05,"Jonathan Viquerat, April 2026",friedman_20260702
hexintri_n29,min/hexagons_in_triangle,29,s,14.785579007998574,14.80187,0.01629,"Mohamed Metwalli, June 2026",friedman_20260702
hexintri_n30,min/hexagons_in_triangle,30,s,15.0,15.0142,0.0142,"Mohamed Metwalli, June 2026",friedman_20260702
hexintri_n31,min/hexagons_in_triangle,31,s,15.0,15.36956,0.36956,"Mohamed Metwalli, June 2026",friedman_20260702
hexintri_n32,min/hexagons_in_triangle,32,s,15.475730056406233,15.488,0.01227,"Mohamed Metwalli, June 2026",friedman_20260702
octinL_n15,min/octagons_in_L,15,s,5.820021502927343,,,,blog_showcase_record
octincir_n14,min/octagons_in_circle,14,s,5.341302585430498,5.34131,1e-05,"Jonathan Viquerat, June 2026",friedman_20260702
octincir_n16,min/octagons_in_circle,16,s,5.732951336509084,5.73298,3e-05,"Jonathan Viquerat, June 2026",friedman_20260702
octincir_n18,min/octagons_in_circle,18,s,6.059667895910237,6.05968,1e-05,"Jonathan Viquerat, June 2026",friedman_20260702
octincir_n20,min/octagons_in_circle,20,s,6.367244507264158,6.36903,0.00179,"Jonathan Viquerat, June 2026",friedman_20260702
octincub_n21,min/octahedra_in_cube,21,s,2.592849935818519,2.59297,0.00012,"Riain Walsh, June 2026",friedman_20260702
octincub_n24,min/octahedra_in_cube,24,s,2.6331889674258844,2.63504,0.00185,"Riain Walsh, June 2026",friedman_20260702
penincir_n21,min/pentagons_in_circle,21,s,3.906936422646795,3.90697,3e-05,"Jake Loyd, June 2026",friedman_20260702
penincir_n22,min/pentagons_in_circle,22,s,3.997810379591897,3.9979,9e-05,"Jonathan Viquerat, June 2026",friedman_20260702
penincir_n23,min/pentagons_in_circle,23,s,4.071936354465431,4.07272,0.00078,"Jonathan Viquerat, June 2026",friedman_20260702
penincir_n24,min/pentagons_in_circle,24,s,4.124024512457134,4.12412,0.0001,"Jonathan Viquerat, June 2026",friedman_20260702
peninsqu_n6,min/pentagons_in_square,6,s,3.882992252618798,3.883,1e-05,"Jonathan Viquerat, April 2026",friedman_20260702
peninsqu_n11,min/pentagons_in_square,11,s,5.115562392068272,5.11557,1e-05,"Jonathan Viquerat, April 2026",friedman_20260702
